지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd)
119,수원,2019,13.2,-10.8,20191206,36.5,20190806,8.2,18.8,915.8,108,20190726
119,수원,2020,12.9,-12.6,20201231,34.9,20200825,8.5,18,1635.5,134.2,20200809
119,수원,2021,13.4,-18.6,20210109,36.3,20210724,8.7,18.6,1084.4,70.9,20210901
119,수원,2022,12.8,-14.6,20221219,35.2,20220730,8.1,18,1864,285,20220630
119,수원,2023,13.3,-16.7,20230125,34.9,20230807,8.7,18.6,1409.4,91.6,20230810
119,수원,2024,14.1,-13.1,20240123,35.7,20240804,9.7,19.2,1378.2,151.9,20240718
202,양평,1971,,,,,,,,425.2,80,19710810
202,양평,1972,,-15.4,19721128,36.5,19720720,,,1773.7,239,19720819
202,양평,1973,10.9,-24.8,19731225,35.4,19730717,5.5,17,1060.5,89,19730804
202,양평,1974,9.6,-26.5,19740124,35,19740820,3.9,16,1157.9,85.7,19740708
202,양평,1975,11.2,-19.6,19751223,35.5,19750819,5.7,17.7,1280.6,239.8,19750725
202,양평,1976,10.1,-19.3,19760121,34.6,19760725,4.7,16.4,1130.6,102.9,19760813
202,양평,1977,10.9,-21.2,19770131,36.4,19770728,4.9,17.6,975.1,85.2,19770709
202,양평,1978,11.2,-20.2,19780122,36.2,19780726,5.5,17.7,1214.5,169.7,19780625
202,양평,1979,11.1,-21.2,19790202,34.4,19790813,5.6,17.4,1181.1,65.9,19790620
202,양평,1980,9.5,-21.1,19801231,32.6,19800614,3.8,15.8,1149.3,94,19800405
202,양평,1981,9.4,-32.6,19810105,35.8,19810726,3.3,16.2,1575.8,162,19810701
202,양평,1982,11.1,-17.4,19820130,36,19820811,5.2,17.9,1258.4,137.5,19820513
202,양평,1983,10.8,-19.8,19831225,35.6,19830805,5.4,17.3,1182.5,74.5,19830729
202,양평,1984,10.1,-26.4,19840105,35.7,19840809,4.3,17.1,1415.6,215,19840901
202,양평,1985,10.6,-27.5,19850117,36.1,19850729,5.1,16.9,1341.4,108.5,19851012
202,양평,1986,9.9,-27.2,19860105,35.2,19860802,4.4,16.9,1165.1,109,19860811
202,양평,1987,10.7,-20,19870114,35.4,19870627,5.1,17.7,1498.1,141,19870727
202,양평,1988,10.5,-16.2,19880208,37.1,19880810,4.4,17.9,758.9,52,19880709
202,양평,1989,11.5,-16,19890129,35.3,19890805,5.8,18.2,1453,105,19890725
202,양평,1990,11.4,-22.3,19900126,36.7,19900807,6.3,17.7,2254.9,216.4,19900910
202,양평,1991,10.9,-20.9,19910109,35.4,19910820,4.8,17.7,1286.8,122.8,19910715
202,양평,1992,10.9,-15.6,19920207,33.6,19920706,5.9,17,1282.1,160.5,19920827
202,양평,1993,10.4,-16.2,19930121,32.7,19930705,5.1,16.6,1195.6,135.5,19930729
202,양평,1994,11.7,-17.5,19940124,37.6,19940723,5.9,18.2,1037.5,84,19940801
202,양평,1995,10.2,-16.3,19951226,34.3,19950723,4.3,17,1630.3,204.5,19950819
202,양평,1996,10.5,-18.6,19960206,35.6,19960802,4.9,17.1,1088.9,101.5,19960617
202,양평,1997,11.5,-18,19970122,37.1,19970723,5.8,18.3,1436.9,167.5,19970701
202,양평,1998,12.5,-17.5,19980125,33.4,19980912,7.4,18.6,1948.7,346,19980808
202,양평,1999,11.9,-15,19990204,36.1,19990811,6.5,18.1,1499.3,151.5,19990722
202,양평,2000,11.6,-15.1,20000201,35,20000830,6.3,17.6,959.6,91.5,20000722
202,양평,2001,11.6,-21.8,20010116,35.4,20010803,6.1,17.9,1034.1,168,20010723
202,양평,2002,11.7,-19.1,20020103,35.2,20020728,6.5,17.7,1333.1,320,20020807
202,양평,2003,11.7,-20.2,20030106,33.4,20030805,6.9,17.5,1825.8,166.5,20030722
202,양평,2004,11.8,-17.7,20040123,35.4,20040731,6.5,18.1,1347.8,131,20040716
202,양평,2005,11.3,-17.1,20051218,35.2,20050805,6.3,17.2,1732.6,157.5,20050811
202,양평,2006,12.3,-15.1,20060107,35.5,20060816,7.3,18.3,1670.8,285,20060716
202,양평,2007,12.5,-13.1,20070114,34,20070619,7.6,18.3,1402.7,81,20070914
202,양평,2008,11.8,-14.9,20080213,35,20080709,6.6,18,1420.4,203.5,20080724
202,양평,2009,11.9,-18.7,20090115,34.2,20090809,6.5,18,1576.5,243,20090712
202,양평,2010,11.4,-21.7,20100106,34.2,20100805,6.6,17.1,1902.5,214.5,20100921
202,양평,2011,11.3,-20.9,20110117,35.5,20110718,6.3,17.2,2198.5,230,20110727
202,양평,2012,11.4,-21.4,20120203,37,20120805,6.4,17.2,1532,147.5,20120706
202,양평,2013,11.7,-20.6,20130104,34.2,20130822,6.8,17.4,1683.1,174.5,20130722
202,양평,2014,12.4,-14.5,20141222,35,20140720,7.2,18.4,790.1,73.5,20140821
202,양평,2015,12.9,-13.5,20150103,36.1,20150807,7.6,18.9,801.5,69.5,20150725
202,양평,2016,12.9,-17.8,20160125,36.1,20160808,7.9,18.8,935.9,125,20160701
202,양평,2017,12.2,-17,20170124,36.3,20170805,6.8,18.1,1188.4,126,20170710
202,양평,2018,12.1,-19.9,20180127,40.1,20180801,6.8,18.2,1355.4,130.5,20180702
202,양평,2019,12.7,-13.6,20190103,36.4,20190805,7.4,18.8,1038.6,95,20190905
202,양평,2020,12.5,-14.7,20201217,35,20200622,7.7,18.1,1366.4,116.1,20200806
202,양평,2021,12.7,-20.3,20210109,34.9,20210727,7.9,18.3,1018.9,72.2,20210301
202,양평,2022,12.2,-15.5,20221224,34.4,20220730,7.3,17.9,2143.4,261.9,20220808
202,양평,2023,13.1,-17.7,20230125,34.9,20230805,8.2,18.6,1538.4,114.5,20230714
202,양평,2024,13.9,-13.3,20240123,35.1,20240804,9.4,19.2,1347.2,108,20240718
203,이천,1971,,,,,,,,276.1,71.3,19710503
203,이천,1972,,-15.6,19721128,35,19720722,,,1742.7,376,19720819
203,이천,1973,11.1,-25.7,19731225,34.4,19730717,6,16.4,1180.7,73.8,19730630
203,이천,1974,9.9,-22.3,19740124,33.6,19740820,4.6,15.5,1182.7,102.1,19740709
203,이천,1975,11.4,-19.1,19751224,33.6,19750822,6.3,17.2,1311.9,141.4,19750725
203,이천,1976,10.5,-18.8,19761227,33.2,19760725,5.2,16.2,1234.9,141,19760813
203,이천,1977,11.3,-19.4,19770217,38.3,19770724,5.6,17.6,1031.1,99.8,19770424
203,이천,1978,11.6,-19.4,19780122,35.2,19780726,6,17.6,1138.4,157.1,19780625
203,이천,1979,11.5,-19,19790202,33.6,19790815,6.4,17.2,1373.9,81,19790620
203,이천,1980,9.9,-21.2,19801230,32.4,19800614,4.7,15.7,1441,124.9,19800722
203,이천,1981,10,-26.5,19810105,35,19810731,4.5,16.1,1445.8,148,19810703
203,이천,1982,11.3,-16.5,19820130,35.6,19820811,5.8,17.8,954.7,92.1,19820728
203,이천,1983,11.3,-17.4,19831225,35.6,19830805,6.2,17.4,949,65,19830719
203,이천,1984,10.7,-21.4,19840106,36.4,19840810,5.6,16.9,1198.5,184.5,19840901
203,이천,1985,11,-23.2,19850117,36.5,19850729,6.2,16.6,1402.6,104.5,19850513
203,이천,1986,10.5,-21.6,19860106,35.1,19860802,5.4,16.3,1194.1,83,19860719
203,이천,1987,11.2,-18.4,19870114,33.7,19870626,6.2,17.1,1870.1,238.5,19870721
203,이천,1988,11.2,-14.1,19880125,36.2,19880810,5.9,17.3,1005.3,96.4,19880720
203,이천,1989,12.1,-13.4,19890129,34.4,19890805,7.1,17.9,1452.2,93.2,19890303
203,이천,1990,12,-20.7,19900126,35.9,19900807,7.3,17.5,2313.3,273.6,19900911
203,이천,1991,11.5,-18.7,19910109,35,19910820,6.2,17.5,1379.1,89.9,19910721
203,이천,1992,11.3,-13.5,19920120,33,19920729,6.3,17.1,1207,185.5,19920827
203,이천,1993,11.2,-14.7,19930121,32.2,19930705,6,16.9,1251.8,121,19930713
203,이천,1994,13,-14.4,19940124,38.2,19940718,7.3,19.3,1118.8,135.5,19940828
203,이천,1995,11.3,-15.3,19950128,36,19950814,5.5,18,1423.9,126,19950820
203,이천,1996,11.6,-16.1,19960203,35.8,19960802,6.1,18.1,1122.1,134.5,19960617
203,이천,1997,11.5,-16.2,19970122,35.4,19970725,5.5,18.7,1282.9,136,19970701
203,이천,1998,12,-16.5,19980125,31.7,19980729,7,18,1807.5,174.5,19980808
203,이천,1999,11.5,-15.5,19990204,34.3,19990720,6.1,17.7,1675.3,189.5,19990920
203,이천,2000,11.3,-15.3,20000121,33.6,20000704,5.9,17.4,1264.9,241,20000722
203,이천,2001,11.1,-23.2,20010116,34.5,20010804,5.5,17.6,884.9,76,20010724
203,이천,2002,11.4,-17,20020103,34.5,20020728,6,17.7,1394.6,279,20020807
203,이천,2003,11.5,-20.2,20030106,32,20030731,6.4,17.4,1715.2,120,20030627
203,이천,2004,12,-18,20040123,35.9,20040731,6.4,18.4,1177.4,101.5,20040619
203,이천,2005,11.6,-17.5,20051218,35.7,20050723,6.2,17.7,1303.3,87,20050728
203,이천,2006,12.2,-15.5,20060209,35.5,20060815,7.1,18,1464.8,207.5,20060716
203,이천,2007,11.8,-14.1,20070114,34.2,20070817,6.8,17.8,1414.8,87.5,20070804
203,이천,2008,11.5,-14.3,20080117,35,20080808,6.1,17.9,1170.7,162.5,20080724
203,이천,2009,11.6,-16.6,20090115,33.8,20090816,6,17.9,1401.5,304,20090712
203,이천,2010,11.1,-22.8,20100106,34.1,20100809,6.1,16.9,1429.6,187,20100921
203,이천,2011,11,-20.6,20110117,34.7,20110718,5.7,17.1,2045,206,20110727
203,이천,2012,11.1,-22.8,20120203,37.7,20120805,5.7,17.4,1559.2,247.5,20120706
203,이천,2013,11.4,-22.5,20130104,34.3,20130814,6.1,17.4,1366.6,202,20130722
203,이천,2014,11.9,-14.9,20141221,34.7,20140801,6.4,18.3,791.5,58.1,20140903
203,이천,2015,12.4,-14,20150103,36.3,20150807,6.8,18.7,842.5,56,20150724
203,이천,2016,12.7,-18.5,20160125,36.3,20160806,7.2,19,870.2,83.2,20160704
203,이천,2017,11.7,-17.4,20170124,37.1,20170805,5.9,18.2,1020,73.9,20170710
203,이천,2018,11.7,-19.2,20180127,39.4,20180801,6,18.3,1425.5,168.4,20180828
203,이천,2019,12.3,-14.6,20190109,37.3,20190805,6.6,18.9,997.5,63.8,20190726
203,이천,2020,12.5,-15.5,20201231,34.8,20200825,7.3,18.4,1668.8,143.2,20200802
203,이천,2021,12.7,-21.4,20210109,36,20210724,7.3,18.8,1076.6,83.9,20210901
203,이천,2022,12.2,-17.8,20221224,34.7,20220729,6.6,18.4,1537.3,141,20220713
203,이천,2023,13.1,-18.7,20230125,35.6,20230806,7.6,19.1,1633.4,120.9,20230714
203,이천,2024,13.9,-13.4,20240123,36,20240619,8.8,19.7,1706.7,180.9,20240718
